date,value
6/7/2005,4579470000000
6/6/2005,4569610000000
6/3/2005,4569750000000
6/2/2005,4553650000000
6/1/2005,4550570000000
5/31/2005,4542380000000
5/27/2005,4544040000000
5/26/2005,4543740000000
5/25/2005,4537090000000
5/24/2005,4536770000000
5/23/2005,4535420000000
5/20/2005,4534920000000
5/19/2005,4534510000000
5/18/2005,4536270000000
5/17/2005,4535550000000
5/16/2005,4534010000000
5/13/2005,4523020000000
5/12/2005,4522890000000
5/11/2005,4534380000000
5/10/2005,4533950000000
5/9/2005,4531840000000
5/6/2005,4531610000000
5/5/2005,4531910000000
5/4/2005,4548710000000
5/3/2005,4547730000000
5/2/2005,4546740000000
4/29/2005,4551060000000
4/28/2005,4542050000000
4/27/2005,4557910000000
4/26/2005,4556960000000
4/25/2005,4556080000000
4/22/2005,4556500000000
4/21/2005,4556210000000
4/20/2005,4578250000000
4/19/2005,4577230000000
4/18/2005,4576340000000
4/15/2005,4583320000000
4/14/2005,4598940000000
4/13/2005,4607310000000
4/12/2005,4606520000000
4/11/2005,4605070000000
4/8/2005,4605370000000
4/7/2005,4605270000000
4/6/2005,4600100000000
4/5/2005,4598950000000
4/4/2005,4597840000000
3/31/2005,4572720000000
3/30/2005,null
3/29/2005,null
3/28/2005,null
3/25/2005,null
3/24/2005,null
3/23/2005,null
3/22/2005,null
3/21/2005,null
3/18/2005,null
3/17/2005,null
3/16/2005,null
3/15/2005,null
3/14/2005,null
3/11/2005,null
3/10/2005,null
3/9/2005,null
3/8/2005,null
3/7/2005,null
3/4/2005,null
3/3/2005,null
3/2/2005,null
3/1/2005,null
2/28/2005,4508290000000
2/25/2005,null
2/24/2005,null
2/23/2005,null
2/22/2005,null
2/18/2005,null
2/17/2005,null
2/16/2005,null
2/15/2005,null
2/14/2005,null
2/11/2005,null
2/10/2005,null
2/9/2005,null
2/8/2005,null
2/7/2005,null
2/4/2005,null
2/3/2005,null
2/2/2005,null
2/1/2005,null
1/31/2005,4428220000000
1/28/2005,null
1/27/2005,null
1/26/2005,null
1/25/2005,null
1/24/2005,null
1/21/2005,null
1/20/2005,null
1/19/2005,null
1/18/2005,null
1/14/2005,null
1/13/2005,null
1/12/2005,null
1/11/2005,null
1/10/2005,null
1/7/2005,null
1/6/2005,null
1/5/2005,null
1/4/2005,null
1/3/2005,null
12/31/2004,4408390000000
12/30/2004,null
12/29/2004,null
12/28/2004,null
12/27/2004,null
12/24/2004,null
12/23/2004,null
12/22/2004,null
12/21/2004,null
12/20/2004,null
12/17/2004,null
12/16/2004,null
12/15/2004,null
12/14/2004,null
12/13/2004,null
12/10/2004,null
12/9/2004,null
12/8/2004,null
12/7/2004,null
12/6/2004,null
12/3/2004,null
12/2/2004,null
12/1/2004,null
11/30/2004,4407910000000
11/29/2004,null
11/26/2004,null
11/24/2004,null
11/23/2004,null
11/22/2004,null
11/19/2004,null
11/18/2004,null
11/17/2004,null
11/16/2004,null
11/15/2004,null
11/12/2004,null
11/10/2004,null
11/9/2004,null
11/8/2004,null
11/5/2004,null
11/4/2004,null
11/3/2004,null
11/2/2004,null
11/1/2004,null
10/29/2004,4318490000000
10/28/2004,null
10/27/2004,null
10/26/2004,null
10/25/2004,null
10/22/2004,null
10/21/2004,null
10/20/2004,null
10/19/2004,null
